User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use
U00075,0.355555556,1.355555556,2.355555556,Google Pixel,1,6.8,26.2,74.5,150,5.1,1073,1.1,0.8,0.680526316,Work
U00076,0.911111111,1.911111111,2.911111111,Oppo,0,6.1,20.7,23.2,117,1.6,3672,3.2,2.1,0.173684211,Gaming
U00077,0.8,1.8,2.8,Samsung,1,9.2,45.9,294,129,3.7,5449,1,3.8,0.590526316,Entertainment
U00078,0.088888889,1.088888889,2.088888889,Motorola,1,6,42.2,193,101,3.1,4606,2.2,3.9,0.318421053,Entertainment
U00079,0.244444444,1.244444444,2.244444444,Xiaomi,1,11.1,1.3,51.9,52,0.6,1308,4.7,1.1,0.528421053,Social Media
U00080,0.288888889,1.288888889,2.288888889,Xiaomi,1,5.7,49.5,98.2,190,2.1,8715,7.9,3.2,0.05,Gaming
U00081,0.488888889,1.488888889,2.488888889,OnePlus,1,10.5,33,69,92,4,8284,1.3,4.1,0.358421053,Work
U00082,0.6,1.6,2.6,Google Pixel,0,1.8,9.2,107.6,19,3.5,4648,3.7,0.6,0.837368421,Education
U00083,0.688888889,1.688888889,2.688888889,Realme,0,10,30.8,105.6,179,3.9,3003,4.9,2.4,0.195789474,Entertainment
U00084,0.822222222,1.822222222,2.822222222,Samsung,1,5,46.6,127.1,56,4.6,7151,4.1,2.2,0.238947368,Education
U00085,0.177777778,1.177777778,2.177777778,Samsung,0,4.5,44.3,298.9,166,2.2,9243,1.2,4.4,0.660526316,Entertainment
U00086,0.222222222,1.222222222,2.222222222,Nokia,0,5,26.4,216.9,78,4,3751,1.7,4.4,0.604736842,Entertainment
U00087,0.533333333,1.533333333,2.533333333,Nokia,0,2.4,14.6,9.5,84,1.6,1401,3.6,2,0.516315789,Education
U00088,0.622222222,1.622222222,2.622222222,Vivo,1,11.4,45.5,215.1,28,1.1,6568,7.4,0.5,0.213157895,Social Media
U00089,0.533333333,1.533333333,2.533333333,Samsung,0,8.8,40.8,237.2,190,2.8,5779,6.6,1.3,0.877368421,Social Media
U00090,0.511111111,1.511111111,2.511111111,Oppo,0,1.8,49.9,87.3,95,5.2,5891,6.4,0.1,0.684736842,Gaming
U00091,0.688888889,1.688888889,2.688888889,Motorola,0,6.7,15.8,120.9,187,1.2,2427,6.4,2.5,0.571578947,Gaming
U00092,0.4,1.4,2.4,Vivo,0,10.9,38,273.4,198,3,305,5.1,2.7,0.117894737,Education
U00093,0.8,1.8,2.8,Nokia,0,10.5,28.4,182.7,86,1.2,1305,7.1,1.7,0.725789474,Gaming
U00094,0.933333333,1.933333333,2.933333333,Nokia,1,10.8,39.2,28.6,126,4,526,4.7,1.2,0.794736842,Entertainment
U00095,0.977777778,1.977777778,2.977777778,Google Pixel,0,2.3,11.6,52.3,136,2.9,6699,1.5,4.2,0.599473684,Entertainment
U00096,0.133333333,1.133333333,2.133333333,Vivo,0,7.2,29.6,180.6,88,1.4,9995,1.1,0.4,0.856315789,Gaming
U00097,0.044444444,1.044444444,2.044444444,Motorola,0,11.8,35.2,111.2,140,0.7,856,7,2,0.723157895,Entertainment
U00098,0.155555556,1.155555556,2.155555556,Google Pixel,0,8,12.9,82.9,113,3.9,2936,4.7,0,0.180526316,Work
U00099,0.222222222,1.222222222,2.222222222,Apple,1,1.5,25.9,24.3,62,4.5,9363,7.5,0.2,0.373157895,Entertainment
U00100,0.311111111,1.311111111,2.311111111,Motorola,0,7.8,42.5,71.6,17,4.2,1972,3.7,3.3,0.468421053,Social Media
U00101,0.355555556,1.355555556,2.355555556,Apple,1,10.9,41.1,273.4,157,4.2,9043,2.8,3.4,0.174210526,Education
U00102,0.533333333,1.533333333,2.533333333,Apple,0,8.4,46.3,175.6,180,5.6,3881,7,0.1,0.607368421,Social Media
U00103,0,1,2,Realme,1,10.5,39.3,77.1,137,2.2,8230,3.1,3.1,0.308947368,Work
U00104,0.133333333,1.133333333,2.133333333,Apple,0,3.6,5.5,30.6,200,4.5,5214,7.7,3.8,0.541578947,Entertainment
U00105,0.911111111,1.911111111,2.911111111,Motorola,1,11.6,31.6,123.1,150,2,7124,6.7,3.4,0.493157895,Entertainment
U00106,0.311111111,1.311111111,2.311111111,Xiaomi,1,4.8,8.4,253,62,5.9,1373,1.4,0.8,0.587368421,Gaming
U00107,0.955555556,1.955555556,2.955555556,Xiaomi,0,7.9,7.9,18.5,34,1,1875,3.5,0.4,0.991052632,Social Media
U00108,0.555555556,1.555555556,2.555555556,Xiaomi,0,5.5,42.8,50,142,3.6,8911,4.4,3.7,0.592631579,Work
U00109,0.511111111,1.511111111,2.511111111,Realme,1,4.5,20.9,62.8,198,0.5,5339,0.6,3.3,0.351052632,Social Media
U00110,0.377777778,1.377777778,2.377777778,OnePlus,0,9.2,43.4,281.8,55,3.5,3082,4.6,3.9,0.651578947,Work
U00111,0.288888889,1.288888889,2.288888889,Samsung,0,9.3,48.8,107.2,190,1.4,1623,7.6,2.9,0.915263158,Education
U00112,0.933333333,1.933333333,2.933333333,Nokia,0,9.6,49.4,257.1,47,2.7,5899,6,2.5,0.165263158,Gaming
U00113,0.622222222,1.622222222,2.622222222,Oppo,1,1.2,20.5,244.1,13,3,4570,5.3,3.2,0.055789474,Social Media
U00114,0.866666667,1.866666667,2.866666667,Google Pixel,0,8,24.5,85.7,163,1.5,2640,3.8,1.1,0.778947368,Social Media
U00115,0,1,2,Oppo,1,8.5,18.6,118.8,30,5.8,7615,6.8,2.5,0.183157895,Education
U00116,0.266666667,1.266666667,2.266666667,Apple,1,1.5,7.8,50.7,151,1.1,5508,3.4,2.8,0.153684211,Education
U00117,0.911111111,1.911111111,2.911111111,Realme,0,5.2,3.5,6.7,101,5.5,8684,5.8,0.5,0.803684211,Entertainment
U00118,0,1,2,Nokia,0,8.9,13.9,99.2,51,5.4,7174,0.7,1.7,0.914210526,Education
U00119,0.088888889,1.088888889,2.088888889,Motorola,1,7.2,16,163.5,191,1.9,6130,4.8,1.8,0.58,Gaming
U00120,0.355555556,1.355555556,2.355555556,Realme,1,7.5,29.2,259.3,141,4.5,1991,1.3,1.1,0.966315789,Work
U00121,0.644444444,1.644444444,2.644444444,Nokia,1,10.8,15.8,152.4,81,3.1,8153,7.3,1.6,0.657894737,Gaming
U00122,0.844444444,1.844444444,2.844444444,Google Pixel,0,1.4,28.9,265.2,179,3.9,1032,4.5,2.1,0.081052632,Entertainment
U00123,0.688888889,1.688888889,2.688888889,Samsung,1,5.9,38.1,144.6,186,2.1,684,4.5,1.2,0.769473684,Social Media
U00124,0.222222222,1.222222222,2.222222222,OnePlus,1,3.7,49.5,160.5,77,4.2,9444,1.8,0.2,0.614736842,Entertainment
U00125,0.755555556,1.755555556,2.755555556,Google Pixel,0,10.1,9.4,69.5,125,0.7,5893,4.2,4.6,0.387894737,Social Media
U00126,0.177777778,1.177777778,2.177777778,Oppo,1,10.1,6.1,68.8,198,5.8,3598,1.6,3.9,0.502105263,Work
U00127,0.2,1.2,2.2,Samsung,0,6.1,9,240.6,126,1,1035,3.2,1.3,0.444210526,Gaming
U00128,0.133333333,1.133333333,2.133333333,Oppo,1,6.5,1.5,115,196,2.1,1824,1.8,1.8,0.33,Entertainment
U00129,0.533333333,1.533333333,2.533333333,Apple,1,4.8,22.6,205,71,5.3,5852,3.6,3.6,0.775789474,Work
U00130,0.777777778,1.777777778,2.777777778,Motorola,1,3.7,48.7,57.3,52,3.9,7916,2.7,2.1,0.423684211,Social Media
U00131,0.222222222,1.222222222,2.222222222,OnePlus,0,5.2,37.5,218.5,23,3.1,3433,6.6,2,0.024736842,Education
U00132,0.133333333,1.133333333,2.133333333,Vivo,0,2.9,27.6,202.1,85,1.8,6866,3.3,4.2,0.552105263,Entertainment
U00133,0.533333333,1.533333333,2.533333333,Google Pixel,1,7.7,6.6,118.1,39,4.9,5299,7.9,2.5,0.892105263,Social Media
U00134,0.733333333,1.733333333,2.733333333,Apple,1,5,22.5,98.8,143,2.1,708,7.6,2.9,0.678421053,Social Media
U00135,0.066666667,1.066666667,2.066666667,Apple,0,3.7,40.8,226,167,0.8,4554,0.9,4.2,0.163684211,Social Media
U00136,0.911111111,1.911111111,2.911111111,Nokia,1,4.4,11.9,30.3,68,5.7,716,2.6,0.3,0.323684211,Entertainment
U00137,0.622222222,1.622222222,2.622222222,Samsung,1,2.4,42.1,147.2,143,4.8,3847,5.6,4.4,0.873684211,Work
U00138,0.977777778,1.977777778,2.977777778,Xiaomi,0,8.8,31.1,216.5,122,2.8,3840,4.1,3.4,0.087894737,Entertainment
U00139,0.4,1.4,2.4,Apple,1,8.2,34.4,173,177,5.2,8751,0.7,3,0.394736842,Gaming
U00140,0.088888889,1.088888889,2.088888889,Vivo,0,4.1,14.3,134.6,193,4.9,977,6.2,0.2,0.216842105,Social Media
U00141,0.977777778,1.977777778,2.977777778,Xiaomi,0,1.5,5.3,286.9,83,4.8,151,6.9,0.4,0.920526316,Gaming
U00142,0.755555556,1.755555556,2.755555556,Nokia,0,1.8,14.2,176.7,138,3.4,4034,8,2.5,0.542105263,Education
U00143,0.844444444,1.844444444,2.844444444,Xiaomi,0,8.1,22.6,228.5,48,2.8,1175,5,2.2,0.04,Gaming
U00144,0.755555556,1.755555556,2.755555556,Motorola,0,11.7,42.6,218.5,150,5.6,6184,6.3,0.6,0.989473684,Social Media
U00145,0.933333333,1.933333333,2.933333333,Motorola,1,1.1,23.3,41.1,10,0.8,2170,4.1,2.6,0.817368421,Social Media
U00146,0.666666667,1.666666667,2.666666667,Vivo,1,6.7,26.1,137.5,137,4.9,8216,5.6,1.3,0.108421053,Social Media
U00147,0.066666667,1.066666667,2.066666667,Apple,0,6,16.7,201.8,43,2.9,4640,5.2,4.6,0.735263158,Entertainment
U00148,0.6,1.6,2.6,Google Pixel,0,5.5,49.4,55.7,117,1.4,9032,2,4.5,0.122105263,Entertainment
U00149,0.533333333,1.533333333,2.533333333,Oppo,0,3.1,9.3,165.3,199,2.6,8547,1.4,3.5,0.045263158,Social Media
U00150,1,2,3,Samsung,0,11.8,40.7,134.9,75,2,837,2.3,1.8,0.151052632,Education
U00151,0.022222222,1.022222222,2.022222222,Samsung,1,7.9,6.8,69.8,38,2.8,5468,7.7,4.2,0.633684211,Entertainment
U00152,0.8,1.8,2.8,Realme,1,1.7,26,80.4,33,5.7,8873,4,1.3,0.641052632,Social Media
U00153,0.777777778,1.777777778,2.777777778,Motorola,1,3.8,15.6,264.9,183,0.9,4894,0.7,4.2,0.863157895,Work
U00154,0.311111111,1.311111111,2.311111111,Vivo,1,3.9,19,64.4,106,1,9942,3.3,0.3,0.269473684,Social Media
U00155,0.8,1.8,2.8,OnePlus,0,7.3,44.2,211.4,80,0.5,6983,6.1,2.5,0.552631579,Gaming
U00156,0.777777778,1.777777778,2.777777778,Nokia,1,5.4,15.1,40.6,130,5.6,3470,5.3,2.2,0.498421053,Social Media
U00157,0.422222222,1.422222222,2.422222222,OnePlus,0,1.9,1.4,187.6,34,2.5,2706,0.9,4.4,0.098421053,Social Media
U00158,0.022222222,1.022222222,2.022222222,Motorola,1,11.5,41.2,274.4,122,4.8,206,3.1,1.2,0.965789474,Education
U00159,0.444444444,1.444444444,2.444444444,Xiaomi,1,7.9,33.3,50,90,5.8,8385,6.2,4,0.280526316,Work
U00160,0.533333333,1.533333333,2.533333333,Oppo,0,7.2,12.1,281.8,58,1.9,5116,7.6,4.5,0.616315789,Social Media
U00161,0.511111111,1.511111111,2.511111111,Nokia,1,5,27.2,166.8,152,1.8,1111,0.7,4,0.251578947,Work
U00162,0.422222222,1.422222222,2.422222222,Realme,1,9.4,9.7,96.8,19,4,7564,3.2,2.1,0.475263158,Work
U00163,0.955555556,1.955555556,2.955555556,Apple,1,7.1,43.3,248.5,57,2.6,8474,2,0.9,0.031578947,Gaming
U00164,0.555555556,1.555555556,2.555555556,Vivo,1,9.9,14.7,128,121,3.6,3870,5.2,3.8,0.083157895,Social Media
U00165,0.111111111,1.111111111,2.111111111,Google Pixel,1,9,6,137.9,49,0.7,8615,0.8,2.3,0.064736842,Education
U00166,0.311111111,1.311111111,2.311111111,Oppo,1,10.1,33.3,168.3,40,2.5,8182,4.9,0.2,0.274210526,Gaming
U00167,0.311111111,1.311111111,2.311111111,Oppo,1,8.1,37.9,218.4,93,4,7142,5.5,0.1,0.03,Gaming
U00168,0.4,1.4,2.4,Google Pixel,1,3.6,36.2,83.9,52,4.9,639,7.9,3,0.726315789,Gaming
U00169,0.288888889,1.288888889,2.288888889,Samsung,0,11.1,35.3,37.4,182,5.6,7845,3.3,2.2,0.901578947,Social Media
U00170,0.288888889,1.288888889,2.288888889,Samsung,1,7.5,20.6,205.1,188,3.7,7816,3.4,3,0.448421053,Social Media
U00171,0.711111111,1.711111111,2.711111111,Nokia,1,8.7,25.7,196.5,14,5.3,2252,4.6,3.7,0.345789474,Education
U00172,0.533333333,1.533333333,2.533333333,Google Pixel,0,12,32.2,35.9,16,4.1,1414,0.8,3.6,0.07,Entertainment
U00173,0.711111111,1.711111111,2.711111111,Samsung,0,5,26.6,250.1,21,3.8,2485,7.6,0.6,0.854210526,Social Media
U00174,0.088888889,1.088888889,2.088888889,Xiaomi,0,11.7,6.2,81.7,20,3.3,3667,6.1,4.2,0.327368421,Social Media
U00175,0.866666667,1.866666667,2.866666667,Google Pixel,1,8.7,30.9,286.4,173,3,2456,6.8,2.3,0.850526316,Social Media
U00176,0.644444444,1.644444444,2.644444444,Nokia,0,3.7,26.1,275.5,119,2.8,957,2.4,1.8,0.257894737,Work
U00177,0.822222222,1.822222222,2.822222222,OnePlus,0,2.2,18.7,121.5,132,1.1,1903,5.4,0.2,0.896842105,Social Media
U00178,0.622222222,1.622222222,2.622222222,Nokia,0,5.4,21.2,244.2,140,3.3,8206,7.9,1,0.567368421,Social Media
U00179,0.777777778,1.777777778,2.777777778,OnePlus,1,4,9.2,267.7,53,5.7,6357,0.7,1.2,0.725789474,Work
U00180,0.333333333,1.333333333,2.333333333,Realme,0,5.8,15.2,116,10,2.5,1605,4.7,0.2,0.419473684,Entertainment
U00181,0.511111111,1.511111111,2.511111111,Samsung,0,5.1,18.7,67.4,147,3.3,5150,6.5,0.7,0.162105263,Social Media
U00182,0.4,1.4,2.4,Realme,0,4.3,44.9,64.7,176,5.2,3146,2.2,0.2,0.728421053,Work
U00183,0.844444444,1.844444444,2.844444444,Google Pixel,0,4.9,6.5,199.6,181,5.1,7676,3.3,0.6,0.552631579,Work
U00184,0.911111111,1.911111111,2.911111111,OnePlus,1,10.4,47.4,168.2,127,1.8,126,5.3,1.3,0.115263158,Social Media
U00185,0.955555556,1.955555556,2.955555556,Oppo,0,5.4,14.8,106,58,5,3633,1.7,4.6,0.317368421,Entertainment
U00186,0.355555556,1.355555556,2.355555556,Apple,1,11.8,35.5,132,91,4.4,4462,0.8,2.8,0.398947368,Entertainment
U00187,0.6,1.6,2.6,Realme,0,10.2,21.4,296.3,175,1.1,2252,3.4,1.1,0.324210526,Work
U00188,0.733333333,1.733333333,2.733333333,Google Pixel,0,9.4,35.8,256.5,160,1.6,8873,5.1,1.6,0.411578947,Work
U00189,0.8,1.8,2.8,Nokia,1,6.1,46.3,38.1,89,2.1,6856,5.3,0.9,0.646315789,Entertainment
U00190,0.955555556,1.955555556,2.955555556,Motorola,0,4.5,7.3,126.7,174,2.6,8052,7.3,2.4,0.357368421,Gaming
U00191,0.377777778,1.377777778,2.377777778,Vivo,0,1.6,9.1,122.1,120,3.7,2559,6,1.3,0.766842105,Gaming
U00192,0.577777778,1.577777778,2.577777778,Samsung,1,4.6,49,89.2,28,4.8,8197,6.9,4.4,0.983684211,Social Media
U00193,0.111111111,1.111111111,2.111111111,Realme,0,5,33.3,28.3,70,3.1,2828,3.7,2.1,0.167368421,Social Media
U00194,0.822222222,1.822222222,2.822222222,Nokia,1,2.1,50,165.8,126,2.7,5500,6.4,3.9,0.336315789,Entertainment
U00195,0.844444444,1.844444444,2.844444444,Google Pixel,0,3.3,43.2,102.8,140,1.3,1248,3.5,0,0.392631579,Social Media
U00196,0.177777778,1.177777778,2.177777778,Xiaomi,1,8.4,8,124.2,51,4.3,6406,3.1,0.1,0.448947368,Education
U00197,0.466666667,1.466666667,2.466666667,Google Pixel,0,3,41,188.4,95,1.8,627,1.7,4,0.687894737,Social Media
U00198,0.422222222,1.422222222,2.422222222,Nokia,0,3.9,43.6,296.2,193,0.8,2430,1.9,4,0.541052632,Gaming
U00199,0.666666667,1.666666667,2.666666667,Apple,0,6.4,15.3,38.5,96,5.7,3191,7.9,4.6,0.516842105,Social Media
U00200,0.755555556,1.755555556,2.755555556,Realme,1,8.4,28.8,62.6,16,0.7,3036,3.3,3.7,0.570526316,Gaming
U00201,0.044444444,1.044444444,2.044444444,OnePlus,0,4.1,20.9,29.9,161,5,3385,7.8,2.3,0.546842105,Education
U00202,0.4,1.4,2.4,Realme,0,8.7,7.5,258.6,42,4.6,8676,3,1.9,0.14,Gaming
U00203,0.577777778,1.577777778,2.577777778,OnePlus,1,6.6,44.6,56.3,28,2.6,4031,1.5,0.3,0.155263158,Education
U00204,0.666666667,1.666666667,2.666666667,OnePlus,0,3.9,3.6,154.3,183,5.6,3338,7.6,4.9,0.436315789,Gaming
U00205,0.222222222,1.222222222,2.222222222,Realme,1,1.5,19.1,235.2,17,2,5411,7.5,4.6,0.757894737,Education
U00206,1,2,3,Xiaomi,0,7.9,32.2,238,65,2.2,4387,7.3,4.1,0.037368421,Entertainment
U00207,0.977777778,1.977777778,2.977777778,Oppo,0,7.2,1,147.4,93,3.6,3533,3.2,3.5,0.232105263,Work
